GRB081025 nan             
GRB081024A nan             
GRB081022 nan             
GRB081017 nan             
GRB081016B nan             
GRB081012 nan             
GRB081011 nan             
GRB081008 3.8479             
GRB081007 3.038             
GRB080928 1.9683             
GRB080919 nan             
GRB080916B nan             
GRB080916A 0.5295             
GRB080915B nan             
GRB080915A nan             
GRB080913 1.6919             
GRB080906 0.6887             
GRB080905B 6.733             
GRB080905A 2.13             
GRB080903 nan             
GRB080822B nan             
GRB080810 2.3739             
GRB080805 0.1218             
GRB080804 3.3604             
GRB080802 nan             
GRB080727C nan             
GRB080727B nan             
GRB080727A nan             
GRB080725 nan             
GRB080723A nan             
GRB080721 1.5042             
GRB080714 nan             
GRB080710 2.2045             
GRB080707 2.5914             
GRB080703 nan             
GRB080702A nan             
GRB080702B nan             
GRB080701 nan             
GRB080623 nan             
GRB080613B nan             
GRB080607 0.8454             
GRB080605 1.2322             
GRB080604 3.0368             
GRB080603B 1.6403             
GRB080602 1.4171             
GRB080524 nan             
GRB080523 nan             
GRB080520 2.6892             
GRB080517 1.8204             
GRB080516 1.5457             
GRB080515 0.089             
GRB080506 nan             
GRB080503 nan             
GRB080430 3.2             
GRB080426 nan             
GRB080413B 2.47(?)             
GRB080413A 0.767             
GRB080411 1.1014             
GRB080409 nan             
GRB080405 nan             
GRB080330 2.433             
GRB080328 nan             
GRB080325 1.0301             
GRB080320 nan             
GRB080319D nan             
GRB080319C 1.5119             
GRB080319B 1.78             
GRB080319A nan             
GRB080315 nan             
GRB080310 1.9492             
GRB080307 nan             
GRB080303 nan             
GRB080229A nan             
GRB080218B nan             
GRB080218A nan             
GRB080212 nan             
GRB080210 0.9382             
GRB080207 2.42743             
GRB080205 nan             
GRB080130 nan             
GRB080129 2.6419             
GRB080123 nan             
GRB080121 nan             
GRB071227 2.0858             
GRB071129 nan             
GRB071122 4.349             
GRB071118 nan             
GRB071117 0.381             
GRB071112B nan             
GRB071112C 1.14             
GRB071101 nan             
GRB071031 1.3308             
GRB071028A nan             
GRB071028B 0.8227             
GRB071025 2.6918             
GRB071021 0.94             
GRB071020 5.2             
GRB071018 nan             
GRB071013 nan             
GRB071011 nan             
GRB071010B 2.452             
GRB071010A 2.1462             
GRB071010C nan             
GRB071008 nan             
GRB071006 nan             
GRB071003 0.947             
GRB071001 nan             
GRB070923 nan             
GRB070920B nan             
GRB070920A nan             
GRB070917 nan             
GRB070913 nan             
GRB070911 nan             
GRB070810B nan             
GRB070810A 0.985             
GRB070809 1.60435             
GRB070808 nan             
GRB070805 nan             
GRB070802 2.17             
GRB070731 nan             
GRB070729 nan             
GRB070724A 0.2187             
GRB070721B 2.4541             
GRB070721A nan             
GRB070714B 0.4571             
GRB070714A 3.6298             
GRB070704 nan             
GRB070628 nan             
GRB070621 nan             
GRB070616 nan             
GRB070612B nan             
GRB070612A 0.9225             
GRB070611 1.58(?)             
GRB070531 nan             
GRB070529 0.617             
GRB070521 2.0394             
GRB070520B nan             
GRB070520A nan             
GRB070518 2.4996             
GRB070517 nan             
GRB070509 nan             
GRB070508 2.0865             
GRB070506 1.16(?)             
GRB070429B 0.82             
GRB070429A nan             
GRB070427 nan             
GRB070420 2.309             
GRB070419B 0.9023             
GRB070419A 3.01             
GRB070412 nan             
GRB070411 1.9588             
GRB070406 nan             
GRB070330 nan             
GRB070328 0.9705             
GRB070326 nan             
GRB070318 2.9538             
GRB070306 2.06             
GRB070227 nan             
GRB070224 0.8397             
GRB070223 nan             
GRB070220 nan             
GRB070219 nan             
GRB070209 nan             
GRB070208 1.49594             
GRB070129 1.99             
GRB070126 nan             
GRB070125 1.165             
GRB070110 2.3384             
GRB070107 nan             
GRB070103 1.5477             
GRB061222B 2.3521             
GRB061222A 2.6208             
GRB061218 nan             
GRB061217 3.355             
GRB061210 2.088             
GRB061202 nan             
GRB061201 0.827             
GRB061126 0.4095             
GRB061121 0.0865 (ref 1) or 0.111 (ref 2) (?)      
GRB061110B 1.1588             
GRB061110A 1.3145             
GRB061102 nan             
GRB061028 nan             
GRB061027 nan             
GRB061021 3.4344             
GRB061019 nan             
GRB061007 0.7578             
GRB061006 0.3463             
GRB061004 nan             
GRB061002 nan             
GRB060929 nan             
GRB060927 1.2622             
GRB060926 0.4377             
GRB060923C nan             
GRB060923B 5.4636             
GRB060923A 3.2086             
GRB060919 nan             
GRB060912A 2.47             
GRB060908 1.51             
GRB060906 0.937             
GRB060904B 1.8836             
GRB060904A 3.6856             
GRB060825 nan             
GRB060814 0.7029             
GRB060813 nan             
GRB060807 nan             
GRB060805A 2.55             
GRB060804 nan             
GRB060801 1.9229             
GRB060729 2.3633(?)             
GRB060728 nan             
GRB060719 1.1304             
GRB060717 nan             
GRB060714 0.5428             
GRB060712 nan             
GRB060708 1.532             
GRB060707 2.7108             
GRB060614 1.92             
GRB060607B nan             
GRB060607A 3.424             
GRB060605 0.1254             
GRB060604 3.0749             
GRB060602A 3.773             
GRB060526 2.1357             
GRB060522 0.787             
GRB060516 nan             
GRB060515 nan             
GRB060512 3.2213             
GRB060510B 5.11             
GRB060510A nan             
GRB060507 nan             
GRB060505 2.1             
GRB060502B 4.941             
GRB060502A 0.0889             
GRB060501 nan             
GRB060428B 0.287             
GRB060428A nan             
GRB060427 nan             
GRB060424 nan             
GRB060421 nan             
GRB060418 1.5026             
GRB060413 nan             
GRB060403 nan             
GRB060323 nan             
GRB060322 nan             
GRB060319 0.348             
GRB060313 nan             
GRB060312 nan             
GRB060306 1.49             
GRB060223B nan             
GRB060223A 1.172             
GRB060219 nan             
GRB060218 1.559             
GRB060211B nan             
GRB060211A nan             
GRB060210 4.41             
GRB060206 0.03342             
GRB060204B nan             
GRB060203 nan             
GRB060202 3.9122             
GRB060124 4.0559             
GRB060123 0.783             
GRB060117 2.3             
GRB060116 1.099 (ref 1), 0.193 (ref 1), 0.562 (ref 1), or 0.56 (ref 2) (?)
GRB060115 4.6             
GRB060111B nan             
GRB060111A 6.6             
GRB060110 nan             
GRB060109 nan             
GRB060108 3.5328             
GRB060105 nan             
GRB060102 nan             
GRB051227 nan             
GRB051221B nan             
GRB051221A 2.32(?)             
GRB051213 nan             
GRB051210 nan             
GRB051117B 2.03             
GRB051117A nan             
GRB051114 nan             
GRB051113 nan             
GRB051111 0.5464             
GRB051109B 0.481             
GRB051109A 1.54948             
GRB051105A nan             
GRB051021B nan             
GRB051016B 0.08             
GRB051016A nan             
GRB051012 nan             
GRB051008 2.346             
GRB051006 0.9364             
GRB051001 2.77             
GRB050925 nan             
GRB050922C 1.059             
GRB050922B 2.4296             
GRB050916 nan             
GRB050915B nan             
GRB050915A 2.1995             
GRB050911 nan             
GRB050908 4.5             
GRB050906 nan             
GRB050904 2.5273             
GRB050827 nan             
GRB050826 3.3467             
GRB050824 6.295             
GRB050822 0.296             
GRB050820B nan             
GRB050820A 0.8278             
GRB050819 1.434             
GRB050815 nan             
GRB050814 2.6147             
GRB050813 2.5043             
GRB050803 5.3             
GRB050802 0.722             
GRB050801 3.5             
GRB050730 1.7102             
GRB050726 1.38             
GRB050724 3.9693             
GRB050721 nan             
GRB050717 nan             
GRB050716 nan             
GRB050715 nan             
GRB050714B 0.1646             
GRB050713B nan             
GRB050713A nan             
GRB050712 nan             
GRB050701 nan             
GRB050607 nan             
GRB050603 0.257             
GRB050528 nan             
GRB050525A 2.438             
GRB050509B 2.821             
GRB050509A nan             
GRB050507 nan             
GRB050505 0.606             
GRB050502B 0.2249             
GRB050422 nan             
GRB050421 nan             
GRB050418 nan             
GRB050416B nan             
GRB050416A 4.2748             
GRB050412 nan             
GRB050410 nan             
GRB050406 5.2             
GRB050401 0.6528             
GRB050326 nan             
GRB050319 2.7             
GRB050318 2.8983             
GRB050315 3.2425             
GRB050306 nan             
GRB050223 1.4436             
GRB050219B nan             
GRB050219A 1.95             
GRB050215B 0.584             
GRB050215A nan             
GRB050202 nan             
GRB050128 nan             
GRB050126 0.2115             
GRB050124 nan             
GRB050117 nan             
GRB041228 nan             
GRB041226 nan             
GRB041224 nan             
GRB041223 nan             
GRB041220 nan             
GRB041219C nan             
GRB041219B nan             
GRB041219A nan             
GRB041217 nan             
